# Manually curated file. Review and edit row by row; do not generate it from the Ferrari scraper.
model,source_year,production_start_year,production_end_year,production_status,period_source_name,period_source_url,period_source_type,period_confidence,period_review_status,period_notes,period_reviewed_at
296 GTB,2021,2021,,active,Ferrari 296 GTB,https://www.ferrari.com/en-EN/auto/296-gtb,manufacturer_model_page,high,reviewed,Active hybrid V6 mid-engined sports car,2026-08-15
296 GTS,2022,2022,,active,Ferrari 296 GTS,https://www.ferrari.com/en-EN/auto/296-gts,manufacturer_model_page,high,reviewed,Active open derivative of the 296 GTB,2026-08-15
296 Speciale,2025,2025,,active,Ferrari 296 Speciale,https://www.ferrari.com/en-EN/auto/296-speciale,manufacturer_model_page,high,reviewed,Active special-series derivative of the 296 GTB,2026-08-15
296 Speciale A,2025,2025,,active,Ferrari 296 Speciale A,https://www.ferrari.com/en-EN/auto/296-speciale-a,manufacturer_model_page,high,reviewed,Active open derivative of the 296 Speciale,2026-08-15
SF90 Spider,2020,2020,2025,discontinued,Ferrari 849 Testarossa Spider launch,https://www.ferrari.com/en-EN/corporate/articles/849-testarossa-spider,manufacturer_press_release,high,reviewed,Ferrari states the 849 Testarossa Spider replaced it in the range in September 2025,2026-08-15
SF90 XX Stradale,2023,2024,,active,Ferrari SF90 XX launch,https://www.ferrari.com/en-EN/corporate/articles/sf90-xx-stradale-and-sf90-xx-spider-the-first-road-going-cars-in-the-xx-programme,manufacturer_press_release,medium,reviewed,Presented in 2023; limited-series production deliveries treated as active pending an official completion statement,2026-08-15
SF90 XX Spider,2023,2024,,active,Ferrari SF90 XX launch,https://www.ferrari.com/en-EN/corporate/articles/sf90-xx-stradale-and-sf90-xx-spider-the-first-road-going-cars-in-the-xx-programme,manufacturer_press_release,medium,reviewed,Presented in 2023; limited-series production deliveries treated as active pending an official completion statement,2026-08-15
849 Testarossa,2025,2025,,active,Ferrari 849 Testarossa launch,https://www.ferrari.com/en-EN/corporate/articles/849-testarossa,manufacturer_press_release,high,reviewed,Presented as the direct replacement for the SF90 Stradale,2026-08-15
849 Testarossa Spider,2025,2025,,active,Ferrari 849 Testarossa Spider launch,https://www.ferrari.com/en-EN/corporate/articles/849-testarossa-spider,manufacturer_press_release,high,reviewed,Presented as the direct replacement for the SF90 Spider,2026-08-15
Monza SP1,2018,2019,2022,discontinued,Ferrari FY 2022 results,https://cdn.ferrari.com/cms/network/media/pdf/2023_02_02%20-%20Ferrari%20-%20FY%202022%20Results%20Presentation.pdf,manufacturer_report,high,reviewed,Presented in 2018; deliveries phased out in Q1 2022,2026-08-15
Monza SP2,2018,2019,2022,discontinued,Ferrari FY 2022 results,https://cdn.ferrari.com/cms/network/media/pdf/2023_02_02%20-%20Ferrari%20-%20FY%202022%20Results%20Presentation.pdf,manufacturer_report,high,reviewed,Presented in 2018; deliveries phased out in Q1 2022,2026-08-15
Daytona SP3,2021,2022,2024,discontinued,Ferrari Daytona SP3 and annual-report chronology,https://www.ferrari.com/en-EN/auto/daytona-sp3,manufacturer_model_page,medium,reviewed,Presented in 2021; production deliveries are recorded separately from the presentation year,2026-08-15
275 GTB Competizione,1965,1965,1966,discontinued,Ferrari 275 GTB Competizione,https://www.ferrari.com/en-EN/auto/275-gtb-competizione,manufacturer_model_page,high,reviewed,At least two prototypes were built in 1965 and Ferrari records a small customer series in 1966,2026-08-15
365 GT4 2+2,1972,1972,1976,discontinued,Ferrari 400 Automatic,https://www.ferrari.com/en-EN/auto/400-automatic,manufacturer_model_page,high,reviewed,Ferrari says the 400 series replaced it at the 1976 Paris Salon,2026-08-15
400 GT,1976,1976,1979,discontinued,Ferrari 400 GT and 400 GTi,https://www.ferrari.com/en-EN/auto/400-gt,manufacturer_model_page,medium,reviewed,Carburetted manual model ended with the injected 400 GTi introduction,2026-08-15
400 GTi,1979,1979,1985,discontinued,Ferrari 412,https://www.ferrari.com/en-EN/auto/412,manufacturer_model_page,high,reviewed,Ferrari says the 412 replaced the 400i in 1985,2026-08-15
412,1985,1985,1989,discontinued,Ferrari 456 GT Grand Legacy,https://www.ferrari.com/magazine/articles/the-456-gt-a-grand-legacy,manufacturer_history_article,high,reviewed,Ferrari states the predecessor left production three years before the 456 GT debuted in 1992,2026-08-15
456 GT,1992,1992,1998,discontinued,Ferrari 456 GT Grand Legacy,https://www.ferrari.com/magazine/articles/the-456-gt-a-grand-legacy,manufacturer_history_article,high,reviewed,Ferrari explicitly states production through 1998 before the 456M,2026-08-15
456M GT,1998,1998,2003,discontinued,Ferrari 456M GT,https://www.ferrari.com/en-EN/auto/456m-gt,manufacturer_model_page,medium,reviewed,End year cross-checked with specialist histories before the 612 Scaglietti,2026-08-15
612 Scaglietti,2004,2004,2011,discontinued,Ferrari 612 Scaglietti,https://www.ferrari.com/en-EN/auto/612-scaglietti,manufacturer_model_page,medium,reviewed,Model chronology and specialist histories agree on 2004 to 2011,2026-08-15
FF,2011,2011,2016,discontinued,Ferrari 2015 Form 20-F,https://cdn.ferrari.com/cms/network/media/pdf/ferrari_nv_-_2015_20-f_feb_25_final_1_1.pdf,manufacturer_report,high,reviewed,Ferrari states the GTC4Lusso would replace the FF during the second half of 2016,2026-08-15
GTC4Lusso,2016,2016,2020,discontinued,Ferrari model chronology and annual reports,https://www.ferrari.com/en-EN/auto/gtc4lusso,manufacturer_model_page,medium,reviewed,End year cross-checked against Ferrari range reporting and specialist histories,2026-08-15
Dino 308 GT4,1973,1974,1980,discontinued,Ferrari Dino 208 GT4 history,https://www.ferrari.com/magazine/articles/dino-208-gt4-the-worlds-smallest-v8,manufacturer_history_article,medium,reviewed,Presented at Paris in 1973; Ferrari reports the GT4 became Ferrari-badged after 1976 and production ceased in 1980,2026-08-15
Mondial 8,1980,1980,1982,discontinued,Ferrari 4 Places 8th Title,https://www.ferrari.com/en-EN/history/moments/1980/4-places-8th-title/more,manufacturer_history_article,high,reviewed,Presented and produced from 1980 until the Quattrovalvole update in 1982,2026-08-15
Mondial Quattrovalvole,1982,1982,1985,discontinued,Ferrari 4 Places 8th Title,https://www.ferrari.com/en-EN/history/moments/1980/4-places-8th-title/more,manufacturer_history_article,high,reviewed,Ferrari dates the update to 1982 and the next restyle to 1985,2026-08-15
3.2 Mondial,1985,1985,1989,discontinued,Ferrari 4 Places 8th Title,https://www.ferrari.com/en-EN/history/moments/1980/4-places-8th-title/more,manufacturer_history_article,high,reviewed,Ferrari dates the restyles to 1985 and 1989,2026-08-15
Mondial T,1989,1989,1993,discontinued,Ferrari Mondial T and specialist contrast,https://www.ferrari.com/en-EN/auto/mondial-t,manufacturer_model_page,medium,reviewed,Start follows Ferrari's 1989 archive; end year is cross-checked with specialist production histories,2026-08-15
Ferrari California,2008,2008,2012,discontinued,Ferrari California,https://www.ferrari.com/en-EN/auto/ferrari-california,manufacturer_model_page,medium,reviewed,Official model chronology cross-checked against the California 30 introduction,2026-08-15
Ferrari California 30,2012,2012,2014,discontinued,Ferrari California 30,https://www.ferrari.com/en-EN/auto/ferrari-california-30,manufacturer_model_page,medium,reviewed,Official model chronology cross-checked against the California T introduction,2026-08-15
Ferrari California T,2014,2014,2017,discontinued,Ferrari California T,https://www.ferrari.com/en-EN/auto/california-t,manufacturer_model_page,medium,reviewed,Official model chronology cross-checked against the Portofino introduction,2026-08-15
Ferrari Portofino,2017,2017,2020,discontinued,Ferrari Portofino,https://www.ferrari.com/en-EN/auto/ferrari-portofino,manufacturer_model_page,medium,reviewed,Official model chronology cross-checked against the Portofino M introduction,2026-08-15
Ferrari Portofino M,2020,2020,2024,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states the Portofino M was phased out during 2024,2026-07-27
Ferrari Roma,2019,2019,2024,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states the Roma was phased out during 2024,2026-07-27
SF90 Stradale,2019,2019,2024,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states the SF90 Stradale was phased out during 2024,2026-07-27
812 GTS,2019,2019,2024,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states the 812 GTS was phased out during 2024,2026-07-27
812 Competizione,2021,2021,2024,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states the 812 Competizione was phased out during 2024,2026-07-27
GTO,1984,1984,1986,discontinued,Ferrari Performance Icon,https://www.ferrari.com/en-EN/magazine/articles/performance-icon-ferrari-gto,manufacturer_history_article,high,reviewed,Ferrari dates the foundational limited-series supercar to 1984; end cross-checked with specialist histories,2026-08-15
F40,1987,1987,1992,discontinued,Ferrari F50 history,https://www.ferrari.com/magazine/articles/the-f50-a-formula-1-car-for-the-road,manufacturer_history_article,high,reviewed,Ferrari explicitly reports 1311 examples built from 1987 to 1992,2026-08-15
F50,1995,1995,1997,discontinued,Ferrari F50 history,https://www.ferrari.com/magazine/articles/the-f50-a-formula-1-car-for-the-road,manufacturer_history_article,high,reviewed,Ferrari explicitly reports 349 examples made from 1995 to 1997,2026-08-15
Enzo Ferrari,2002,2002,2004,discontinued,Ferrari Enzo history,https://www.ferrari.com/magazine/articles/all-in-the-name-the-enzo-ferrari,manufacturer_history_article,medium,reviewed,Official launch year with end cross-checked against specialist production histories,2026-08-15
LaFerrari,2013,2013,2016,discontinued,Ferrari LaFerrari,https://www.ferrari.com/en-EN/auto/laferrari,manufacturer_model_page,medium,reviewed,Production window cross-checked against Ferrari reporting and specialist histories,2026-08-15
